model_id,description,tags,downloads,likes,language
JetBrains/Mellum-4b-base,text-generation,"transformers, safetensors, llama, text-generation, code, dataset:bigcode/the-stack, dataset:bigcode/the-stack-v2, dataset:bigcode/starcoderdata, dataset:bigcode/commitpack, license:apache-2.0, model-index, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",431,175,unknown
Qwen/Qwen3-0.6B,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, base_model:Qwen/Qwen3-0.6B-Base, base_model:finetune:Qwen/Qwen3-0.6B-Base, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",63659,171,unknown
microsoft/Phi-4-reasoning-plus,text-generation,"transformers, safetensors, phi3, text-generation, phi, nlp, math, code, chat, conversational, reasoning, en, base_model:microsoft/phi-4, base_model:finetune:microsoft/phi-4, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",1665,151,unknown
Qwen/Qwen2.5-Omni-3B,any-to-any,"transformers, safetensors, qwen2_5_omni, multimodal, any-to-any, en, arxiv:2503.20215, license:other, endpoints_compatible, region:us",2195,145,unknown
sand-ai/MAGI-1,image-to-video,"MAGI-1, diffusers, safetensors, image-to-video, en, license:apache-2.0, region:us",0,528,unknown
Qwen/Qwen3-4B,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, base_model:Qwen/Qwen3-4B-Base, base_model:finetune:Qwen/Qwen3-4B-Base, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",78690,141,unknown
microsoft/bitnet-b1.58-2B-4T,text-generation,"transformers, safetensors, bitnet, text-generation, chat, large-language-model, conversational, custom_code, en, arxiv:2504.12285, license:mit, autotrain_compatible, endpoints_compatible, 8-bit, region:us",43286,922,unknown
ostris/Flex.2-preview,text-to-image,"diffusers, safetensors, text-to-image, license:apache-2.0, endpoints_compatible, diffusers:FluxPipeline, region:us",8918,311,unknown
microsoft/Phi-4-reasoning,text-generation,"transformers, safetensors, phi3, text-generation, phi, nlp, math, code, chat, conversational, reasoning, en, base_model:microsoft/phi-4, base_model:finetune:microsoft/phi-4, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",1370,118,unknown
unsloth/Qwen3-30B-A3B-GGUF,text-generation,"transformers, gguf, qwen3_moe, text-generation, qwen3, qwen, unsloth, en, arxiv:2309.00071, base_model:Qwen/Qwen3-30B-A3B, base_model:quantized:Qwen/Qwen3-30B-A3B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, imatrix, conversational",136928,114,unknown
Qwen/Qwen3-14B,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, base_model:Qwen/Qwen3-14B-Base, base_model:finetune:Qwen/Qwen3-14B-Base, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",63530,111,unknown
HiDream-ai/HiDream-E1-Full,any-to-any,"diffusers, safetensors, image-editing, HiDream.ai, any-to-any, en, base_model:HiDream-ai/HiDream-I1-Full, base_model:finetune:HiDream-ai/HiDream-I1-Full, license:mit, diffusers:HiDreamImageEditingPipeline, region:us",1308,104,unknown
microsoft/Phi-4-mini-reasoning,text-generation,"transformers, safetensors, phi3, text-generation, nlp, math, code, conversational, en, arxiv:2504.21233, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",1909,93,unknown
nvidia/parakeet-tdt-0.6b-v2,automatic-speech-recognition,"nemo, automatic-speech-recognition, speech, audio, Transducer, TDT, FastConformer, Conformer, pytorch, NeMo, hf-asr-leaderboard, en, dataset:librispeech_asr, dataset:fisher_corpus, dataset:mozilla-foundation/common_voice_8_0, dataset:National-Singapore-Corpus-Part-1, dataset:vctk, dataset:voxpopuli, dataset:europarl, dataset:multilingual_librispeech, arxiv:2305.05084, arxiv:2304.06795, arxiv:2406.00899, arxiv:2410.01036, license:cc-by-4.0, model-index, region:us",1186,91,unknown
THUDM/GLM-4-32B-0414,text-generation,"transformers, safetensors, glm4, text-generation, conversational, zh, en, license:mit, autotrain_compatible, endpoints_compatible, region:us",14623,364,unknown
Freepik/F-Lite,text-to-image,"diffusers, safetensors, text-to-image, en, license:creativeml-openrail-m, diffusers:FLitePipeline, region:us",570,87,unknown
tencent/Hunyuan3D-2,image-to-3d,"hunyuan3d-2, diffusers, safetensors, image-to-3d, text-to-3d, en, zh, arxiv:2501.12202, arxiv:2411.02293, license:other, region:us",490003,1355,unknown
Qwen/Qwen3-1.7B,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, base_model:Qwen/Qwen3-1.7B-Base, base_model:finetune:Qwen/Qwen3-1.7B-Base, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",53824,83,unknown
black-forest-labs/FLUX.1-dev,text-to-image,"diffusers, safetensors, text-to-image, image-generation, flux, en, license:other, endpoints_compatible, diffusers:FluxPipeline, region:us",2727706,10026,unknown
XiaomiMiMo/MiMo-7B-Base,,"safetensors, mimo, custom_code, license:mit, region:us",278,75,unknown
Qwen/Qwen2.5-Omni-7B,any-to-any,"transformers, safetensors, qwen2_5_omni, multimodal, any-to-any, en, arxiv:2503.20215, license:other, endpoints_compatible, region:us",191119,1570,unknown
hexgrad/Kokoro-82M,text-to-speech,"text-to-speech, en, arxiv:2306.07691, arxiv:2203.02395, base_model:yl4579/StyleTTS2-LJSpeech, base_model:finetune:yl4579/StyleTTS2-LJSpeech, doi:10.57967/hf/4329, license:apache-2.0, region:us",1915857,4199,unknown
deepseek-ai/DeepSeek-V3-0324,text-generation,"transformers, safetensors, deepseek_v3, text-generation, conversational, custom_code, arxiv:2412.19437, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, fp8, region:us",388449,2837,unknown
fdtn-ai/Foundation-Sec-8B,text-generation,"transformers, safetensors, llama, text-generation, security, en, arxiv:2504.21039, base_model:meta-llama/Llama-3.1-8B, base_model:finetune:meta-llama/Llama-3.1-8B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",17599,70,unknown
deepseek-ai/DeepSeek-R1,text-generation,"transformers, safetensors, deepseek_v3, text-generation, conversational, custom_code, arxiv:2501.12948, license:mit, autotrain_compatible, endpoints_compatible, fp8, region:us",1601863,12067,unknown
deepseek-ai/DeepSeek-Prover-V2-7B,,"safetensors, llama, region:us",819,63,unknown
Qwen/Qwen3-235B-A22B-FP8,text-generation,"transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2309.00071, base_model:Qwen/Qwen3-235B-A22B, base_model:quantized:Qwen/Qwen3-235B-A22B, license:apache-2.0, autotrain_compatible, endpoints_compatible, fp8, region:us",8086,60,unknown
lodestones/Chroma,text-to-image,"text-to-image, image-generation, chroma, en, license:apache-2.0, region:us",0,283,unknown
NousResearch/Minos-v1,text-classification,"transformers, safetensors, modernbert, text-classification, base_model:answerdotai/ModernBERT-large, base_model:finetune:answerdotai/ModernBERT-large, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",1205,107,unknown
HiDream-ai/HiDream-I1-Full,text-to-image,"diffusers, safetensors, image-generation, HiDream.ai, text-to-image, en, license:mit, diffusers:HiDreamImagePipeline, region:us",34891,790,unknown
Qwen/Qwen3-30B-A3B-FP8,text-generation,"transformers, safetensors, qwen3_moe, text-generation, conversational, arxiv:2309.00071, base_model:Qwen/Qwen3-30B-A3B, base_model:quantized:Qwen/Qwen3-30B-A3B, license:apache-2.0, autotrain_compatible, endpoints_compatible, fp8, region:us",10539,48,unknown
lmms-lab/Aero-1-Audio,text-generation,"transformers, safetensors, aero, text-generation, conversational, custom_code, en, base_model:Qwen/Qwen2.5-1.5B-Instruct, base_model:finetune:Qwen/Qwen2.5-1.5B-Instruct, license:mit, autotrain_compatible, region:us",345,47,unknown
naver-hyperclovax/HyperCLOVAX-SEED-Vision-Instruct-3B,,"safetensors, hyperclovax_vlm, custom_code, license:other, region:us",7507,149,unknown
bartowski/Qwen_Qwen3-30B-A3B-GGUF,text-generation,"gguf, text-generation, base_model:Qwen/Qwen3-30B-A3B, base_model:quantized:Qwen/Qwen3-30B-A3B, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational",46669,44,unknown
ByteDance-Seed/UI-TARS-1.5-7B,image-text-to-text,"transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, gui, conversational, en, arxiv:2501.12326, arxiv:2404.07972, arxiv:2409.08264, arxiv:2401.13919, arxiv:2504.01382, arxiv:2405.14573, arxiv:2410.23218, arxiv:2504.07981, license:apache-2.0, text-generation-inference, endpoints_compatible, region:us",15195,206,unknown
lightonai/GTE-ModernColBERT-v1,sentence-similarity,"PyLate, safetensors, modernbert, ColBERT, sentence-transformers, sentence-similarity, feature-extraction, generated_from_trainer, dataset_size:640000, loss:Distillation, arxiv:1908.10084, base_model:Alibaba-NLP/gte-modernbert-base, base_model:finetune:Alibaba-NLP/gte-modernbert-base, model-index, region:us",163,43,unknown
Qwen/Qwen3-32B-FP8,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, base_model:Qwen/Qwen3-32B, base_model:quantized:Qwen/Qwen3-32B, license:apache-2.0, autotrain_compatible, endpoints_compatible, fp8, region:us",13381,42,unknown
nvidia/DAM-3B,image-text-to-text,"safetensors, llava_llama, image-text-to-text, en, dataset:nvidia/describe-anything-dataset, arxiv:2504.16072, base_model:Efficient-Large-Model/VILA1.5-3b, base_model:finetune:Efficient-Large-Model/VILA1.5-3b, license:other, region:us",2617,105,unknown
Tesslate/UIGEN-T2-7B-Q8_0-GGUF,,"transformers, gguf, llama-cpp, gguf-my-repo, base_model:Tesslate/UIGEN-T2-7B, base_model:quantized:Tesslate/UIGEN-T2-7B, endpoints_compatible, region:us, conversational",1196,39,unknown
Qwen/Qwen3-0.6B-FP8,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, base_model:Qwen/Qwen3-0.6B, base_model:quantized:Qwen/Qwen3-0.6B, license:apache-2.0, autotrain_compatible, endpoints_compatible, fp8, region:us",2231,39,unknown
unsloth/Qwen3-32B-GGUF,text-generation,"transformers, gguf, qwen3, text-generation, qwen, unsloth, en, arxiv:2309.00071, base_model:Qwen/Qwen3-32B, base_model:quantized:Qwen/Qwen3-32B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, imatrix, conversational",70514,37,unknown
ibm-granite/granite-4.0-tiny-preview,text-generation,"transformers, safetensors, granitemoehybrid, text-generation, language, granite-4.0, conversational, base_model:ibm-granite/granite-4.0-tiny-base-preview, base_model:finetune:ibm-granite/granite-4.0-tiny-base-preview, license:apache-2.0, autotrain_compatible, region:us",63,36,unknown
google/gemma-3-27b-it,image-text-to-text,"transformers, safetensors, gemma3, image-text-to-text, conversational, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-27b-pt, base_model:finetune:google/gemma-3-27b-pt, license:gemma, text-generation-inference, endpoints_compatible, region:us",416096,1295,unknown
sesame/csm-1b,text-to-speech,"safetensors, model_hub_mixin, pytorch_model_hub_mixin, text-to-speech, en, license:apache-2.0, region:us",61045,1973,unknown
sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,"sentence-transformers, pytorch, tf, rust, onnx, safetensors, openvino, bert, feature-extraction, sentence-similarity, transformers, en, dataset:s2orc, dataset:flax-sentence-embeddings/stackexchange_xml, dataset:ms_marco, dataset:gooaq, dataset:yahoo_answers_topics, dataset:code_search_net, dataset:search_qa, dataset:eli5, dataset:snli, dataset:multi_nli, dataset:wikihow, dataset:natural_questions, dataset:trivia_qa, dataset:embedding-data/sentence-compression, dataset:embedding-data/flickr30k-captions, dataset:embedding-data/altlex, dataset:embedding-data/simple-wiki, dataset:embedding-data/QQP, dataset:embedding-data/SPECTER, dataset:embedding-data/PAQ_pairs, dataset:embedding-data/WikiAnswers, arxiv:1904.06472, arxiv:2102.07033, arxiv:2104.08727, arxiv:1704.05179, arxiv:1810.09305, license:apache-2.0, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",82353618,3341,unknown
moonshotai/Kimi-Audio-7B,text-to-speech,"safetensors, audio, audio-language-model, speech-recognition, audio-understanding, text-to-speech, audio-generation, chat, kimi-audio, custom_code, en, zh, license:mit, region:us",166,34,unknown
shuttleai/shuttle-3.5,text-generation,"transformers, safetensors, qwen3, text-generation, chat, conversational, en, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",115,34,unknown
Qwen/Qwen3-0.6B-Base,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",14292,33,unknown
bartowski/Qwen_Qwen3-32B-GGUF,text-generation,"gguf, text-generation, base_model:Qwen/Qwen3-32B, base_model:quantized:Qwen/Qwen3-32B, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational",30047,31,unknown
kalomaze/Qwen3-16B-A3B,,"safetensors, qwen3_moe, base_model:Qwen/Qwen3-30B-A3B, base_model:finetune:Qwen/Qwen3-30B-A3B, license:apache-2.0, region:us",0,30,unknown
unsloth/Phi-4-reasoning-plus-GGUF,text-generation,"transformers, gguf, phi3, text-generation, nlp, unsloth, math, code, phi, phi4, en, base_model:microsoft/Phi-4-reasoning-plus, base_model:quantized:microsoft/Phi-4-reasoning-plus, license:mit, autotrain_compatible, endpoints_compatible, region:us, conversational",54513,29,unknown
black-forest-labs/FLUX.1-schnell,text-to-image,"diffusers, safetensors, text-to-image, image-generation, flux, en, license:apache-2.0, endpoints_compatible, diffusers:FluxPipeline, region:us",520849,3725,unknown
Skywork/Skywork-R1V2-38B,image-text-to-text,"transformers, safetensors, internvl_chat, image-text-to-text, conversational, custom_code, arxiv:2504.16656, arxiv:2504.05599, license:mit, endpoints_compatible, region:us",11861,114,unknown
yanolja/EEVE-Korean-Instruct-7B-v2.0-Preview,,"safetensors, qwen2, generated_from_trainer, arxiv:2310.01377, arxiv:2501.12948, arxiv:2502.02737, arxiv:2402.14714, license:apache-2.0, region:us",129,28,unknown
ArliAI/QwQ-32B-ArliAI-RpR-v3,,"safetensors, qwen2, en, base_model:Qwen/QwQ-32B, base_model:finetune:Qwen/QwQ-32B, license:apache-2.0, region:us",244,28,unknown
Qwen/Qwen3-4B-Base,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",5124,28,unknown
meta-llama/Llama-3.1-8B-Instruct,text-generation,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, base_model:meta-llama/Llama-3.1-8B, base_model:finetune:meta-llama/Llama-3.1-8B, license:llama3.1, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",5402577,3913,unknown
microsoft/bitnet-b1.58-2B-4T-gguf,text-generation,"transformers, gguf, chat, bitnet, text-generation, large-language-model, en, arxiv:2504.12285, license:mit, endpoints_compatible, region:us, conversational",31383,156,unknown
unsloth/Qwen3-0.6B-GGUF,text-generation,"transformers, gguf, qwen3, text-generation, qwen, unsloth, en, base_model:Qwen/Qwen3-0.6B, base_model:quantized:Qwen/Qwen3-0.6B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, conversational",24389,27,unknown
unsloth/Qwen3-235B-A22B-GGUF,text-generation,"transformers, gguf, qwen3_moe, text-generation, qwen3, qwen, unsloth, en, arxiv:2309.00071, base_model:Qwen/Qwen3-235B-A22B, base_model:quantized:Qwen/Qwen3-235B-A22B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, conversational",33233,27,unknown
sanaka87/ICEdit-MoE-LoRA,image-to-image,"diffusers, art, image-to-image, en, dataset:osunlp/MagicBrush, dataset:TIGER-Lab/OmniEdit-Filtered-1.2M, arxiv:2504.20690, base_model:black-forest-labs/FLUX.1-Fill-dev, base_model:finetune:black-forest-labs/FLUX.1-Fill-dev, license:apache-2.0, region:us",208,27,unknown
openfree/flux-chatgpt-ghibli-lora,text-to-image,"diffusers, text-to-image, flux, lora, template:sd-lora, ai-toolkit, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us",14037,286,unknown
bytedance-research/Phantom,,"arxiv:2502.11079, license:apache-2.0, region:us",0,93,unknown
stabilityai/stable-diffusion-3.5-large,text-to-image,"diffusers, safetensors, text-to-image, stable-diffusion, en, arxiv:2403.03206, license:other, diffusers:StableDiffusion3Pipeline, region:us",149874,2731,unknown
microsoft/Phi-4-multimodal-instruct,automatic-speech-recognition,"transformers, safetensors, phi4mm, text-generation, nlp, code, audio, automatic-speech-recognition, speech-summarization, speech-translation, visual-question-answering, phi-4-multimodal, phi, phi-4-mini, custom_code, multilingual, ar, zh, cs, da, nl, en, fi, fr, de, he, hu, it, ja, ko, no, pl, pt, ru, es, sv, th, tr, uk, arxiv:2503.01743, arxiv:2407.13833, license:mit, autotrain_compatible, region:us",426700,1347,unknown
google/gemma-3-27b-it-qat-q4_0-gguf,image-text-to-text,"gguf, gemma, gemma3, image-text-to-text, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-27b-it, base_model:quantized:google/gemma-3-27b-it, license:gemma, endpoints_compatible, region:us, conversational",70585,266,unknown
meta-llama/Llama-4-Scout-17B-16E-Instruct,image-text-to-text,"transformers, safetensors, llama4, image-text-to-text, facebook, meta, pytorch, llama, conversational, ar, de, en, es, fr, hi, id, it, pt, th, tl, vi, arxiv:2204.05149, base_model:meta-llama/Llama-4-Scout-17B-16E, base_model:finetune:meta-llama/Llama-4-Scout-17B-16E, license:other, text-generation-inference, endpoints_compatible, region:us",864207,860,unknown
reasonir/ReasonIR-8B,feature-extraction,"transformers, safetensors, llama, feature-extraction, custom_code, en, arxiv:2504.20595, base_model:meta-llama/Llama-3.1-8B, base_model:finetune:meta-llama/Llama-3.1-8B, license:cc-by-sa-4.0, text-generation-inference, endpoints_compatible, region:us",4640,25,unknown
Qwen/Qwen3-30B-A3B-Base,text-generation,"transformers, safetensors, qwen3_moe, text-generation, conversational, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",2717,25,unknown
stabilityai/stable-diffusion-xl-base-1.0,text-to-image,"diffusers, onnx, safetensors, text-to-image, stable-diffusion, arxiv:2307.01952, arxiv:2211.01324, arxiv:2108.01073, arxiv:2112.10752, license:openrail++, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionXLPipeline, region:us",2387821,6557,unknown
meta-llama/Llama-3.2-3B-Instruct,text-generation,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, arxiv:2405.16406, license:llama3.2, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",1684527,1404,unknown
Qwen/Qwen3-1.7B-FP8,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, base_model:Qwen/Qwen3-1.7B, base_model:quantized:Qwen/Qwen3-1.7B, license:apache-2.0, autotrain_compatible, endpoints_compatible, fp8, region:us",2755,24,unknown
unsloth/Qwen3-30B-A3B-128K-GGUF,text-generation,"transformers, gguf, qwen3_moe, text-generation, qwen3, qwen, unsloth, en, arxiv:2309.00071, base_model:Qwen/Qwen3-30B-A3B, base_model:quantized:Qwen/Qwen3-30B-A3B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, imatrix, conversational",22899,24,unknown
openai/whisper-large-v3,automatic-speech-recognition,"transformers, pytorch, jax, safetensors, whisper, automatic-speech-recognition, audio, hf-asr-leaderboard, en, zh, de, es, ru, ko, fr, ja, pt, tr, pl, ca, nl, ar, sv, it, id, hi, fi, vi, he, uk, el, ms, cs, ro, da, hu, ta, no, th, ur, hr, bg, lt, la, mi, ml, cy, sk, te, fa, lv, bn, sr, az, sl, kn, et, mk, br, eu, is, hy, ne, mn, bs, kk, sq, sw, gl, mr, pa, si, km, sn, yo, so, af, oc, ka, be, tg, sd, gu, am, yi, lo, uz, fo, ht, ps, tk, nn, mt, sa, lb, my, bo, tl, mg, as, tt, haw, ln, ha, ba, jw, su, arxiv:2212.04356, license:apache-2.0, endpoints_compatible, region:us",7428335,4333,unknown
black-forest-labs/FLUX.1-Fill-dev,,"diffusers, safetensors, image-generation, flux, diffusion-single-file, en, license:other, diffusers:FluxFillPipeline, region:us",343222,676,unknown
bartowski/THUDM_GLM-4-32B-0414-GGUF,text-generation,"gguf, text-generation, zh, en, base_model:THUDM/GLM-4-32B-0414, base_model:quantized:THUDM/GLM-4-32B-0414, license:mit, endpoints_compatible, region:us, imatrix, conversational",49193,87,unknown
Qwen/Qwen2.5-VL-7B-Instruct,image-text-to-text,"transformers, safetensors, qwen2_5_vl, image-text-to-text, multimodal, conversational, en, arxiv:2309.00071, arxiv:2409.12191, arxiv:2308.12966, license:apache-2.0, text-generation-inference, endpoints_compatible, region:us",2874167,862,unknown
unsloth/Qwen3-14B-GGUF,text-generation,"transformers, gguf, qwen3, text-generation, qwen, unsloth, en, arxiv:2309.00071, base_model:Qwen/Qwen3-14B, base_model:quantized:Qwen/Qwen3-14B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, conversational",33822,22,unknown
Qwen/Qwen3-8B-FP8,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2309.00071, base_model:Qwen/Qwen3-8B, base_model:quantized:Qwen/Qwen3-8B, license:apache-2.0, autotrain_compatible, endpoints_compatible, fp8, region:us",4324,22,unknown
unsloth/Qwen3-8B-GGUF,text-generation,"transformers, gguf, qwen3, text-generation, qwen, unsloth, en, arxiv:2309.00071, base_model:Qwen/Qwen3-8B, base_model:quantized:Qwen/Qwen3-8B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, conversational",23639,22,unknown
ds4sd/SmolDocling-256M-preview,image-text-to-text,"transformers, onnx, safetensors, idefics3, image-text-to-text, conversational, en, arxiv:2503.11576, arxiv:2305.03393, base_model:HuggingFaceTB/SmolVLM-256M-Instruct, base_model:quantized:HuggingFaceTB/SmolVLM-256M-Instruct, license:cdla-permissive-2.0, endpoints_compatible, region:us",85402,1290,unknown
HKUSTAudio/AudioX,text-to-audio,"stable-audio-tools, diffusion_cond, text-to-audio, arxiv:2503.10522, license:cc-by-nc-4.0, region:us",2189,67,unknown
allenai/OLMo-2-0425-1B,text-generation,"transformers, safetensors, olmo2, text-generation, en, arxiv:2501.00656, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",283,21,unknown
openai/whisper-large-v3-turbo,automatic-speech-recognition,"transformers, safetensors, whisper, automatic-speech-recognition, audio, en, zh, de, es, ru, ko, fr, ja, pt, tr, pl, ca, nl, ar, sv, it, id, hi, fi, vi, he, uk, el, ms, cs, ro, da, hu, ta, no, th, ur, hr, bg, lt, la, mi, ml, cy, sk, te, fa, lv, bn, sr, az, sl, kn, et, mk, br, eu, is, hy, ne, mn, bs, kk, sq, sw, gl, mr, pa, si, km, sn, yo, so, af, oc, ka, be, tg, sd, gu, am, yi, lo, uz, fo, ht, ps, tk, nn, mt, sa, lb, my, bo, tl, mg, as, tt, haw, ln, ha, ba, jw, su, arxiv:2212.04356, base_model:openai/whisper-large-v3, base_model:finetune:openai/whisper-large-v3, license:mit, endpoints_compatible, region:us",7048394,2329,unknown
lldacing/flash-attention-windows-wheel,,"license:bsd-3-clause, region:us",0,144,unknown
mistralai/Mistral-Small-3.1-24B-Instruct-2503,image-text-to-text,"vllm, safetensors, mistral3, image-text-to-text, conversational, en, fr, de, es, pt, it, ja, ko, ru, zh, ar, fa, id, ms, ne, pl, ro, sr, sv, tr, uk, vi, hi, bn, base_model:mistralai/Mistral-Small-3.1-24B-Base-2503, base_model:finetune:mistralai/Mistral-Small-3.1-24B-Base-2503, license:apache-2.0, region:us",82363,1186,unknown
Shakker-Labs/FLUX.1-dev-ControlNet-Union-Pro-2.0,text-to-image,"diffusers, safetensors, Text-to-Image, ControlNet, Diffusers, Flux.1-dev, image-generation, Stable Diffusion, text-to-image, en, base_model:black-forest-labs/FLUX.1-dev, base_model:finetune:black-forest-labs/FLUX.1-dev, license:other, region:us",26107,237,unknown
Qwen/Qwen3-8B-Base,text-generation,"transformers, safetensors, qwen3, text-generation, conversational, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",5765,20,unknown
unsloth/Qwen3-4B-GGUF,text-generation,"transformers, gguf, qwen3, text-generation, qwen, unsloth, en, arxiv:2309.00071, base_model:Qwen/Qwen3-4B, base_model:quantized:Qwen/Qwen3-4B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, conversational",19863,20,unknown
